x1;x2;x3;x4;x5;x6;x7;x8
5.813930611400563e-17;6.731267651409723e-17;1.3073926378911604e-14;1.3437150596389509e-14;2.340410089823497e-16;1.4475596212893555e-16;1.8316733911171093e-16;3.705576484108191e-16
5.816679632158942e-17;6.736228271974781e-17;1.306974244652584e-14;1.3438206300731017e-14;2.340546202841618e-16;1.445383990028578e-16;1.8317217291789609e-16;3.7018159389411063e-16
5.819430354210091e-17;6.741174646710273e-17;1.3240484089070995e-14;1.3131387793507308e-14;2.333201181606079e-16;1.4454224360147442e-16;1.8273181200434191e-16;3.7019900095246253e-16
5.824928054422709e-17;6.746101678328982e-17;1.3236780449414387e-14;1.3132680200637886e-14;2.333341642404447e-16;1.4432530635269113e-16;1.8273660589434197e-16;3.6943313895700006e-16
5.830435287880527e-17;6.755983987884742e-17;1.3233205348863835e-14;1.3133407530488627e-14;2.3334817083265616e-16;1.443291222982136e-16;1.8251958648914114e-16;3.690625950386211e-16
5.83319644487897e-17;6.760830076901774e-17;1.3229754365515347e-14;1.3134344170215273e-14;2.326181513077229e-16;1.4411279827806591e-16;1.8252435471801345e-16;3.690831223460379e-16
5.835959390954623e-17;6.765647537734988e-17;1.3385309388289441e-14;1.3135483300109491e-14;2.326319724401239e-16;1.4411658786402212e-16;1.8230782537579992e-16;3.687125714234829e-16
5.841485024970446e-17;6.770444034320802e-17;1.3382218817850982e-14;1.2725171235333545e-14;2.319063438193964e-16;1.4368209103067953e-16;1.8209180318721365e-16;3.6873195157436957e-16
5.84425422463301e-17;6.775235146337715e-17;1.3379233391795829e-14;1.2725905108224937e-14;2.3192003012398293e-16;1.4368585070717015e-16;1.8209653139519061e-16;3.6836115678373296e-16
5.847025273687195e-17;6.785035120754138e-17;1.337634578279171e-14;1.2726903992934017e-14;2.319337007281927e-16;1.4368960847093182e-16;1.8188099898035106e-16;3.6837970355661483e-16
5.849798190705944e-17;6.790006428985969e-17;1.3373545486501107e-14;1.2728143594012665e-14;2.312123594008874e-16;1.4347518259557543e-16;1.8188570689743714e-16;3.6800897562861685e-16
5.85257299411326e-17;6.795127261892159e-17;1.3517620066545354e-14;1.2729531448851735e-14;2.312259273862336e-16;1.4347891068867549e-16;1.8145142399640678e-16;3.6802695215639186e-16
5.860905591800114e-17;6.794986781823623e-17;1.351593074587098e-14;1.217428945052782e-14;2.312394299385338e-16;1.432651182892752e-16;1.8145609439297105e-16;3.67269049626806e-16
5.863689499717457e-17;6.800294322650715e-17;1.3514808466361544e-14;1.2176147280127812e-14;2.2979626873716917e-16;1.4326885432084033e-16;1.8124203953611448e-16;3.6689991776884155e-16
5.866475355742582e-17;6.805835867044364e-17;1.3513784530739645e-14;1.2178128141903166e-14;2.2980957802617117e-16;1.4305568703150733e-16;1.8124669361277483e-16;3.669172516625028e-16
5.869263178897767e-17;6.8178544054729e-17;1.3649355890160964e-14;1.218017335164326e-14;2.291012636875937e-16;1.4305940044667011e-16;1.810331272788976e-16;3.665485704199113e-16
5.874845489686817e-17;6.824103387236309e-17;1.3648681807113709e-14;1.2182217947589492e-14;2.2911450430212657e-16;1.4284683276185264e-16;1.810377663734864e-16;3.665656811563588e-16
5.877640175877604e-17;6.830477283488277e-17;1.364816017531612e-14;1.0590497961221271e-14;2.291277679126238e-16;1.428505209600479e-16;1.8082468812420906e-16;3.6619758083588565e-16
5.880437088054635e-17;6.836871141190187e-17;1.3647820426434387e-14;1.0586141578037225e-14;2.2842370195115515e-16;1.4242359331476887e-16;1.8061210940644607e-16;3.6621460337132256e-16
5.886039605830055e-17;6.843168051258121e-17;1.3896806773504904e-14;1.0578544954763429e-14;2.2843688832659093e-16;1.4242726918290411e-16;1.8061672275084787e-16;3.658472281036359e-16
5.891652372572183e-17;6.855248688476328e-17;1.3896264781026507e-14;1.057243343435056e-14;2.2773706036142744e-16;1.4221655905556784e-16;1.8018844461298381e-16;3.6586432133413656e-16
5.894461616092881e-17;6.860677750416551e-17;1.3891899641390891e-14;1.0566182247056814e-14;2.2775023538918114e-16;1.4222019227268237e-16;1.8019303485194e-16;3.6511494913319335e-16
5.897273274708085e-17;6.865729290486384e-17;1.3886034451832767e-14;9.599760094282255e-15;2.2776345754560577e-16;1.4201008110299567e-16;1.7998193464949634e-16;3.6475013578643933e-16
5.900087400206198e-17;6.870425959815715e-17;1.3879386442190272e-14;9.585545413293216e-15;2.270678772154665e-16;1.420136820237661e-16;1.7998651381627854e-16;3.6476763478825893e-16
