x1;x2;x3;x4;x5;x6;x7;x8
1.745501477572508e-14;1.2215604923263902e-14;9.147914242339156e-17;6.412829498373451e-17;8.60974957903495e-17;1.692952467714888e-16;3.3664670193109625e-16;1.0453194977005962e-15
1.745477227151771e-14;1.1945646179250002e-14;9.148027474201607e-17;6.412806060684868e-17;8.609601104709323e-17;1.6959500934230097e-16;3.366327297131264e-16;1.0482810003377646e-15
1.7454529283041326e-14;1.1652453426276666e-14;9.139445125857007e-17;6.419215334750874e-17;8.619623927743456e-17;1.6959089986471538e-16;3.3737378634784804e-16;1.0481160486191677e-15
1.745428579532267e-14;1.1332802201082893e-14;9.139548060364651e-17;6.419185407987148e-17;8.61947620537519e-17;1.69891700967047e-16;3.3735973089099204e-16;1.0511117067932831e-15
1.7453797921366877e-14;1.0993488426499367e-14;9.139649131414968e-17;6.419163548065814e-17;8.619328085031014e-17;1.6988761441343115e-16;3.381039734852007e-16;1.0541335195328237e-15
1.745355269820714e-14;1.0651714942678424e-14;9.139748330253495e-17;6.419142664404658e-17;8.629373482752521e-17;1.7018953902640818e-16;3.3808983887689396e-16;1.0539987333245222e-15
1.7453306927211497e-14;1.0481773704961092e-14;9.131403809437668e-17;6.419120046684605e-17;8.62922426200923e-17;1.7018548182283562e-16;3.388372923841407e-16;1.0570411161182996e-15
1.7453060592960788e-14;1.0493062262235697e-14;9.131494949136871e-17;6.426091781061262e-17;8.639291841254885e-17;1.704884604518765e-16;3.395880752786612e-16;1.0569018793691195e-15
1.7452813680110165e-14;1.0582996990008352e-14;9.131584231013107e-17;6.426083326220473e-17;8.639141631858096e-17;1.704843666582846e-16;3.395738495215537e-16;1.0599587252785825e-15
1.745256617342141e-14;1.0612490978915179e-14;9.131671632249994e-17;6.426072747117369e-17;8.638991278955517e-17;1.7048027231923007e-16;3.4032795960226197e-16;1.0598163380272567e-15
1.745231805774678e-14;1.0456472561505e-14;9.131757126841627e-17;6.426060403304652e-17;8.649081234341723e-17;1.7078429630993746e-16;3.403136586830933e-16;1.0628877033883325e-15
1.7452069317993457e-14;1.005586687619549e-14;9.123621293636055e-17;6.426046732420895e-17;8.648930327853164e-17;1.7078018118733896e-16;3.410710493000623e-16;1.0627424100321989e-15
1.7451569754253393e-14;1.0066927969416051e-14;9.123701883127183e-17;6.433590474474643e-17;8.648779370420599e-17;1.7108525967060743e-16;3.410566778895958e-16;1.0658287618693247e-15
1.7451319005456077e-14;9.44962054787313e-15;9.123783053323435e-17;6.43359783145834e-17;8.658892055187909e-17;1.7108112291804876e-16;3.4181737546600556e-16;1.0689322015686075e-15
1.7451067583860424e-14;8.693134123698176e-15;9.123864877277119e-17;6.433584504312203e-17;8.658740595450372e-17;1.713872855243522e-16;3.418029366466805e-16;1.068782994691345e-15
1.7450815473678917e-14;7.900559336717064e-15;9.115911833523434e-17;6.433567158788132e-17;8.668876413515765e-17;1.7138314194904284e-16;3.4256696778327415e-16;1.0719026919023904e-15
1.7450562658671672e-14;7.157919463392743e-15;9.11598931763016e-17;6.433551231971708e-17;8.668724446396777e-17;1.7169039098374836e-16;3.425524663307156e-16;1.0717522163584718e-15
1.7450309122004273e-14;6.515643609388551e-15;9.116065411271723e-17;6.441472694101881e-17;8.668572248205915e-17;1.716862067149798e-16;3.4331985698361703e-16;1.0748890817855257e-15
1.7450054846047433e-14;5.988334809782372e-15;9.11614026714761e-17;6.441478220742739e-17;8.678730895823864e-17;1.7199452425673272e-16;3.4409069468680123e-16;1.074738068288654e-15
1.744954358881048e-14;5.56663090982583e-15;9.108315289135677e-17;6.441491631726489e-17;8.678578304418026e-17;1.7199033945618355e-16;3.4407607337448957e-16;1.0778931051392309e-15
1.7449285819753923e-14;5.228467460025258e-15;9.108386660990338e-17;6.441507553414686e-17;8.688760339762526e-17;1.7229973604032857e-16;3.448503214933066e-16;1.0777425339870872e-15
1.7449025545018657e-14;4.948836750999294e-15;9.108444258277151e-17;6.441523570425048e-17;8.688607611498787e-17;1.7229549502757077e-16;3.4483564651709735e-16;1.0809170263783088e-15
1.7448763818801136e-14;4.708027232442089e-15;9.108499118836352e-17;6.449578065692247e-17;8.688455093180597e-17;1.726059700085041e-16;3.456133313065547e-16;1.0841116121258002e-15
1.744850048354607e-14;4.49211101981979e-15;9.108546840432815e-17;6.449617857180526e-17;8.698660957920353e-17;1.726016760953146e-16;3.4559860572924766e-16;1.0839637368578626e-15
