x1;x2;x3;x4;x5;x6;x7;x8
-1.1292258536996919e-5;-4.078831665158336e-5;-2.2103653969731546e-5;-7.234546151186835e-6;-1.628927375125523e-5;-3.28653343425727e-5;-1.0802064746870052e-5;-7.509162537859201e-6
-1.1311183355938031e-5;-3.6963100483969336e-5;-1.6957890050324845e-5;-9.0220794224799e-6;-1.3639231321417936e-5;2.705703093210804e-6;1.1814747368048273e-6;-9.831625882118777e-6
-1.8263082195336608e-5;-3.2008024364382076e-5;-1.1901002953540116e-5;-6.502115123636562e-6;-1.3077531813768598e-5;-1.4343670625719881e-5;-3.3096555982804754e-6;-1.5959207485847365e-5
-1.6343364080361605e-5;-2.7927508277113613e-5;-1.1115809388931655e-5;-7.227184777221576e-6;-1.5087266673333155e-5;-8.048942492382832e-6;8.619092710243637e-6;-1.7505190678092364e-5
-1.4524721142295319e-5;-2.8572911388776226e-5;-7.950644273498758e-6;-1.2315183787825826e-5;-1.3764035025358792e-5;5.158542570727828e-6;1.3139064834587905e-6;-1.5415707009936233e-5
-1.3248781110673097e-5;-3.523226978043893e-5;-1.6748176656606467e-5;-7.656596676510266e-6;-1.565048643887082e-5;-1.1692977648317116e-5;5.8999523036840085e-6;-1.2745103775281541e-5
-2.536517195062156e-5;-4.0440026899804526e-5;-2.410761956780222e-5;-3.0246493152230255e-5;-1.7297601098382326e-5;-1.0785115503821052e-5;6.285169575596591e-6;-1.73596461889719e-5
-3.9876047251382815e-5;-7.879117110163106e-5;-2.1652311858346915e-5;-3.1599248642422834e-5;-2.1784255024286797e-5;-2.2132006489553047e-5;-3.9245053080047554e-5;-1.7440022736549265e-5
-3.8062624498088823e-5;-7.935107705029851e-5;-8.765953463975816e-5;-2.6361535836245953e-5;-2.7237481638749117e-5;-6.404534137150267e-5;1.1113801894281974e-5;-1.395307873066319e-5
-4.3165616206580076e-5;-0.00010885837795867465;-6.918703202227552e-5;-1.963457437195726e-5;-2.7284540112781572e-5;-6.974891344040113e-5;-2.891873841977602e-6;-2.5937178475612943e-5
-5.7004521756384013e-5;-0.00011440578290309797;-4.606567522056834e-5;-2.163508413568528e-5;-2.7184778202011053e-5;2.787220044486727e-7;-1.842016204514109e-5;-2.8677250382049685e-5
-6.188700883844739e-5;-7.82417835609242e-5;-1.925166926746401e-5;-5.201680483539126e-6;-2.086769268112333e-5;2.797863823757879e-6;4.700106399992826e-6;5.096806483084748e-6
-5.9778593160090404e-5;-5.818874823768083e-5;6.695172350490788e-6;5.321198120009085e-6;-1.5048611720669056e-5;-2.5984616424841456e-6;-6.38771394168014e-6;-2.5428628735932324e-6
-6.539142253861319e-5;-5.4755845867549696e-5;6.58744568006811e-6;9.432991854227413e-7;-1.3043708072259588e-5;8.367813835348514e-7;-4.03102024524038e-5;-2.125926448868186e-5
-6.676844477807031e-5;-5.13216355352078e-5;6.83120615974607e-6;6.810503312658367e-7;-1.1681347273534079e-5;-7.38024013196073e-7;-6.506062550733563e-6;-2.179332204371373e-6
-6.678628036663886e-5;-6.24738551758923e-5;4.642094048783532e-6;-1.2124439609592294e-5;-1.2979108560042668e-5;-7.211153988505997e-7;-9.436154998496496e-6;4.209764978731212e-7
-7.082398053259373e-5;-7.220981304910043e-5;-3.7991581115313228e-6;-2.2375752751560563e-5;-1.4703111501869828e-5;-2.6122833622689925e-5;-8.302020523112685e-6;-7.855605035939073e-6
-0.00010482457608114448;-0.00011903728590188095;1.7612060366715282e-6;-3.062015358800893e-5;-2.5016427901388902e-5;-1.0120044676372592e-5;-4.317753926702354e-5;-6.544600183089333e-5
-5.9805884802210246e-5;-7.441819081587323e-5;-6.3616490373653856e-6;-3.473551447778951e-5;-3.286489768716469e-5;-4.883895248395005e-5;-0.00012468381588123627;-0.00012166078055154961
-3.774256307690835e-5;-2.1033257064168726e-5;-1.4184077293279834e-5;-3.401357460034414e-5;-3.294432471749424e-5;-3.4735794228697714e-5;-8.147537206716453e-5;2.206052328441316e-6
-1.9144672208931332e-5;-3.0703303300971124e-5;-3.7189832495093667e-6;-3.179050777326817e-5;-2.669789085299988e-5;-2.3847228460048206e-5;-2.2465427829011092e-5;1.5999568765742017e-6
-2.1756330028221277e-5;-3.381379306643256e-5;-5.23900782739041e-6;-3.359274790134571e-5;-2.1518436550883868e-5;-2.8443188955395993e-5;-4.040946261389504e-5;-4.1302375787255485e-6
-2.7869906487273943e-5;-3.8972301136294685e-5;-4.140901014021772e-6;-2.0404821059995942e-5;-2.1025007362226317e-5;-4.341796608303347e-5;-3.543868687736276e-5;-1.2896631317878271e-5
-1.998055248108102e-5;-2.4495420282374253e-5;-8.747225557555194e-6;-1.4830569034229857e-5;-1.857784377243439e-5;-1.6883464170761378e-5;-1.3058501418515903e-5;-7.640341721884894e-6
