x1;x2;x3;x4;x5;x6;x7;x8
1.7354933783583525e-14;1.0200522070988638e-14;-1.3303347880448907e-16;-4.3004056704982595e-16;-1.2266664593324528e-14;-1.2635677265907188e-15;2.4238891514522355e-16;1.594708142550911e-14
1.7354657022102858e-14;9.965594263074187e-15;-1.3398801605387162e-16;-4.3296294254460427e-16;-1.2267271323380136e-14;-1.2443870628341613e-15;2.438188232072918e-16;1.5958522720091183e-14
1.7354379814649674e-14;9.701524494487275e-15;-1.3397719919730442e-16;-4.329654139756685e-16;-1.2268610375996198e-14;-1.2445219241828651e-15;2.4525467813897116e-16;1.595800091563966e-14
1.735410215197716e-14;9.405604998690097e-15;-1.3493456552858017e-16;-4.329678248856775e-16;-1.2269764328930239e-14;-1.244655762054873e-15;2.451886763548321e-16;1.5969305457662387e-14
1.7353543254359574e-14;9.078341800734044e-15;-1.3589482939919944e-16;-4.3591871441516656e-16;-1.2762689065093977e-14;-1.2259757660377428e-15;2.466302334715889e-16;1.5980457744508304e-14
1.735326401369854e-14;8.723685442240017e-15;-1.35883926773257e-16;-4.359210564552204e-16;-1.2771409871152026e-14;-1.2261019493249445e-15;2.465639255043297e-16;1.597997713731993e-14
1.73529842830165e-14;8.728978480854165e-15;-1.368470785311469e-16;-4.3890093912817136e-16;-1.2779487783057881e-14;-1.2262207439403227e-15;2.480112476945339e-16;1.5990994287503475e-14
1.7352704049867762e-14;8.3543369698247e-15;-1.3781318556396138e-16;-4.3890321371774003e-16;-1.2787003427567418e-14;-1.2263286375619305e-15;2.479446691732278e-16;1.5990535112054323e-14
1.7352423301444183e-14;7.96817513975712e-15;-1.378022040979979e-16;-4.4191257499274213e-16;-1.2794054207056926e-14;-1.208114146424285e-15;2.4939789417224594e-16;1.6001417127257525e-14
1.7352142024699477e-14;7.580406382221e-15;-1.387712622162671e-16;-4.4191483673980673e-16;-1.2039210432128823e-14;-1.2082199004667254e-15;2.493310501093782e-16;1.6012152419342822e-14
1.7351860206320325e-14;7.200549907402976e-15;-1.397433370195182e-16;-4.419170997275665e-16;-1.2040204158259406e-14;-1.208326038379535e-15;2.5079016650031035e-16;1.6011723628077748e-14
1.735157783275422e-14;6.836711344345249e-15;-1.3973229253944658e-16;-4.449565144156788e-16;-1.2042108569792866e-14;-1.190586904703136e-15;2.507230464361912e-16;1.6022325353494373e-14
1.7351008335002864e-14;6.494944724316709e-15;-1.4070738677074459e-16;-4.449583506380697e-16;-1.2044695971086454e-14;-1.1906911802389533e-15;2.5218812447599934e-16;1.6032784225513787e-14
1.7350724159157716e-14;6.179027263872796e-15;-1.4168567041260042e-16;-4.480277135255936e-16;-1.2047938592838893e-14;-1.1907958220394558e-15;2.536594621138123e-16;1.6032379454215068e-14
1.735043938414969e-14;5.890584161491524e-15;-1.4167468456193345e-16;-4.480295332296285e-16;-9.683698370686036e-15;-1.1735144211255258e-15;2.535917621216153e-16;1.604270633395719e-14
1.735015399493778e-14;5.629450392935916e-15;-1.4265615817937346e-16;-4.511299062781234e-16;-9.679431138654198e-15;-1.1736170230110175e-15;2.5506918715174805e-16;1.6052894100776098e-14
1.73498679761935e-14;5.394145147765557e-15;-1.43640912993294e-16;-4.51131823565161e-16;-9.673560667401267e-15;-1.173730279986457e-15;2.55001248981845e-16;1.60525071290168e-14
1.7349581311979408e-14;5.182355484062894e-15;-1.4363011055558952e-16;-4.511337838742363e-16;-9.671389266289144e-15;-1.1738741151703533e-15;2.564848470108014e-16;1.606256436299345e-14
1.7349293985556447e-14;4.991359581584611e-15;-1.446180398307877e-16;-4.542657448796216e-16;-9.671419156016639e-15;-1.1570701468391137e-15;2.564166873076021e-16;1.606218391158507e-14
1.7348714141859192e-14;4.818040538019266e-15;-1.4560921946098372e-16;-4.542678062086088e-16;-7.182022183561789e-15;-1.1572208690661356e-15;2.579065348375476e-16;1.6072110494192415e-14
1.7348423553511218e-14;4.65972639921836e-15;-1.466036893386338e-16;-4.574355859110576e-16;-7.18121600685333e-15;-1.1573816440292013e-15;2.578381726304975e-16;1.6081902727020386e-14
1.734813087629862e-14;4.66180059701259e-15;-1.4659301206112092e-16;-4.574424187780814e-16;-7.177623217879563e-15;-1.1410147357797069e-15;2.593343500037473e-16;1.6081529264964786e-14
1.7347835397060075e-14;4.51765168929481e-15;-1.475908198356956e-16;-4.606447375758488e-16;-7.170565518024631e-15;-1.1411839287413206e-15;2.5926580758550023e-16;1.60911915740325e-14
1.7347538447731435e-14;4.385162406269419e-15;-1.485919136136779e-16;-4.606536311887592e-16;-7.161902984740397e-15;-1.141362058244923e-15;2.6076839998128584e-16;1.6100722407927785e-14
