x1;x2;x3;x4;x5;x6;x7;x8
0.008398;0.008216;0.007307;0.006963;0.006847;0.007009;0.007516;0.007895
0.008397;0.008216;0.007306;0.006962;0.006847;0.007009;0.007516;0.007895
0.008396;0.008215;0.007306;0.006962;0.006847;0.00701;0.007517;0.007896
0.008395;0.008214;0.007305;0.006962;0.006847;0.00701;0.007517;0.007896
0.008394;0.008213;0.007305;0.006962;0.006847;0.00701;0.007518;0.007897
0.008393;0.008212;0.007304;0.006961;0.006847;0.00701;0.007518;0.007898
0.008392;0.008211;0.007304;0.006961;0.006847;0.007011;0.007519;0.007898
0.008391;0.00821;0.007303;0.006961;0.006847;0.007011;0.007519;0.007899
0.00839;0.008209;0.007303;0.006961;0.006847;0.007011;0.00752;0.007899
0.008389;0.008208;0.007302;0.00696;0.006847;0.007011;0.00752;0.0079
0.008389;0.008207;0.007302;0.00696;0.006847;0.007012;0.00752;0.0079
0.008388;0.008206;0.007301;0.00696;0.006847;0.007012;0.007521;0.007901
0.008387;0.008205;0.007301;0.00696;0.006847;0.007012;0.007521;0.007901
0.008386;0.008205;0.0073;0.006959;0.006847;0.007012;0.007522;0.007902
0.008385;0.008204;0.0073;0.006959;0.006847;0.007013;0.007522;0.007903
0.008384;0.008203;0.007299;0.006959;0.006847;0.007013;0.007523;0.007903
0.008383;0.008202;0.007299;0.006959;0.006847;0.007013;0.007523;0.007904
0.008382;0.008201;0.007298;0.006958;0.006847;0.007013;0.007524;0.007904
0.008381;0.0082;0.007298;0.006958;0.006847;0.007014;0.007524;0.007905
0.00838;0.008199;0.007297;0.006958;0.006847;0.007014;0.007525;0.007905
0.008379;0.008198;0.007297;0.006958;0.006847;0.007014;0.007525;0.007906
0.008378;0.008197;0.007296;0.006958;0.006847;0.007014;0.007526;0.007906
0.008377;0.008196;0.007296;0.006957;0.006847;0.007015;0.007526;0.007907
0.008376;0.008196;0.007295;0.006957;0.006847;0.007015;0.007527;0.007908
